Nome: VITORIA
Codigo Estacao: A612
Latitude: -20.27083332
Longitude: -40.30583333
Altitude: 9
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1010.266667;21.279167;32.2;26.545833;21.2;74.708333;45;11.1;2.195833;
2020-01-02;0;1008.275;21.679167;35.5;27.9375;24.7;70.791667;40;12;2.241667;
2020-01-03;20.2;1009.429167;22.991667;32.4;25.516667;21.8;87.25;53;9.3;1.283333;
2020-01-04;71;1008.854167;22.9125;29.7;25.479167;22.5;86.375;65;7.5;1.433333;
2020-01-05;.2;1008.108333;22.820833;35.2;27.679167;24;76.125;48;9;1.920833;
2020-01-06;6.2;1009.4625;24.070833;33.6;27.395833;24.7;83.166667;56;9.2;1.958333;
2020-01-07;0;1010.525;23.183333;33.7;28.325;25.2;74.416667;53;11.5;2.429167;
2020-01-08;0;1011.3;22.116667;33.7;28.391667;25.3;69.583333;52;11.9;2.575;
2020-01-09;0;1011.716667;20.025;33;27.595833;23.9;64.291667;47;10.3;2.5;
2020-01-10;0;1012.1;20.208333;34.1;27.670833;22.1;65.541667;39;12.3;2.3625;
2020-01-11;0;1011.691667;19.9;35.1;28.375;24.2;61.833333;32;11;2.758333;
2020-01-12;0;1011.258333;20.945833;36.1;28.7875;23.8;63.75;40;9;2.1;
2020-01-13;0;1012.725;22.766667;32.3;27.4375;23.7;76.958333;53;6.7;1.520833;
2020-01-14;0;1014.425;20.75;30.2;26.570833;24.7;71.208333;44;9.6;1.704167;
2020-01-15;0;1014.379167;20.125;29.4;25.7625;22.3;71.916667;53;6.9;1.3625;
2020-01-16;0;1013.125;21.5125;36;28.1875;21.9;70.083333;40;10;2.004167;
2020-01-17;0;1014.016667;21.195833;34;28.3625;24.8;66.208333;40;9.2;1.616667;
2020-01-18;10;1016.954167;20.3625;29.6;25.470833;22.9;74.208333;56;9;1.6;
2020-01-19;0;1015.004167;19.429167;31;26.358333;23.7;66.416667;52;8.3;2.020833;
2020-01-20;0;1012.354167;19.208333;30;25.108333;23;71.083333;44;8.4;1.3375;
2020-01-21;11.8;1010.033333;21.325;28.1;23.2;21.1;89.75;68;6.7;.979167;
2020-01-22;17.4;1008.870833;21.458333;30.3;24.6125;21.6;83.875;58;5.8;1.170833;
2020-01-23;65.2;1008.095833;22.291667;29.1;24.716667;21.6;87.208333;68;8.6;1.4875;
2020-01-24;6.2;1005.558333;23.1125;26;24.5375;23.6;91.791667;86;10.1;2.670833;
2020-01-25;30.6;1008.504167;22.508333;27.7;23.454167;22.5;94.5;79;9;1.154167;
2020-01-26;11.2;1012.058333;21.591667;28.4;23.8875;21.5;87.875;63;4.9;1.041667;
2020-01-27;0;1012.568182;22.568182;29.1;24.527273;22;89.590909;65;5.9;1.172727;
2020-01-28;null;1012.145455;23.286364;34.4;27.022727;22.8;81.909091;49;7.7;1.627273;
2020-01-29;null;1013.631818;23.563636;33.1;28.409091;25.2;76.045455;55;10.5;2.077273;
2020-01-30;0;1014.604545;21.818182;33;28.031818;23.3;70.318182;47;9.1;2.195455;
