Nome: SANTA TERESA
Codigo Estacao: A613
Latitude: -19.988388
Longitude: -40.579572
Altitude: 975.92
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;13.2;902.704167;null;26.6;20.358333;16.5;null;null;7.3;1.575;
2020-01-02;0;901.604167;null;28.6;21.35;18.7;null;null;15.7;3.045833;
2020-01-03;21;902.05;null;28;20.75;18;null;null;8.8;2.55;
2020-01-04;45.6;901.575;null;24.5;20.079167;18.2;null;null;11.9;2.5875;
2020-01-05;.2;901.645833;null;27;21.425;19.3;null;null;11.7;2.858333;
2020-01-06;4.6;902.8125;null;27.3;22.358333;20;null;null;11;2.4875;
2020-01-07;.2;904.0125;null;28.5;23.079167;20.5;null;null;8.8;2.779167;
2020-01-08;0;904.558333;null;27;22.329167;19.9;null;null;9.4;3.116667;
2020-01-09;0;904.525;null;27.9;22.4875;17.8;null;null;10.3;2.720833;
2020-01-10;0;904.8625;null;27.9;21.525;16.9;null;null;11.6;3.5375;
2020-01-11;0;904.6625;null;28.2;21.85;17.6;null;null;11.7;2.716667;
2020-01-12;0;904.804167;null;31.9;23.9;19;null;null;12.4;3.4;
2020-01-13;0;905.379167;null;28.4;22.075;19.2;null;null;7.9;1.575;
2020-01-14;1.8;906.0875;null;22.9;19.170833;18;null;null;7.6;2.154167;
2020-01-15;.2;905.954167;null;25.9;19.245833;16.3;null;null;6;1.4125;
2020-01-16;0;906.058333;null;28.3;21.55;17.7;null;null;9.8;2.216667;
2020-01-17;0;906.525;null;26.7;21.8125;19.1;null;null;10.4;2.9;
2020-01-18;6.6;908.208333;null;22.5;19.295833;17.1;null;null;9.1;2.45;
2020-01-19;0;906.645833;null;25.4;19.420833;16.3;null;null;8.3;2.429167;
2020-01-20;.6;904.058333;null;25;19.283333;16.6;null;null;5.8;1.7125;
2020-01-21;22.8;901.708333;null;21.7;18.566667;16.8;null;null;5.9;1.395833;
2020-01-22;8;900.970833;null;25.4;19.433333;17.1;null;null;8.2;1.775;
2020-01-23;10.2;900.566667;null;20.9;18.954167;17.3;null;null;11.2;2.695833;
2020-01-24;25;898.3375;null;19.9;18.995833;18.5;null;null;18;4.920833;
2020-01-25;61.8;900.483333;null;20.8;19.3125;18.7;null;null;18.8;3.883333;
2020-01-26;35.4;903.5875;null;21.3;18.095833;16;null;null;6.9;1.691667;
2020-01-27;2.2;904.454167;null;23.3;19.708333;17.8;null;null;6.4;.541667;
2020-01-28;12.4;905.116667;null;25.6;20.8625;18.8;null;null;11.8;3.0125;
2020-01-29;.2;906.691667;null;26.1;22.075;19.8;null;null;7.8;2.008333;
2020-01-30;0;907.354167;null;27.1;22.033333;18.1;null;null;8.3;2.291667;
2020-01-31;0;906.470833;null;28.6;22.266667;18;null;null;11.1;3.579167;
2020-02-01;0;905.570833;null;30.4;23.220833;18;null;null;12;3.6625;
2020-02-02;0;905.9125;null;28.8;22.608333;19.5;null;null;5.7;1.625;
2020-02-03;0;906.183333;null;28.1;22.108333;18.1;null;null;5.9;1.375;
2020-02-04;0;906.404167;null;26.1;21.095833;17.6;null;null;7.7;1.633333;
2020-02-05;.8;906.325;null;27.1;20.825;18.3;null;null;6.9;1.325;
2020-02-06;.8;906.729167;null;23.7;19.620833;17.8;null;null;7.4;.804167;
2020-02-07;.4;905.666667;null;22.9;19.3125;18.3;null;null;7;1.479167;
2020-02-08;6;905.725;null;25;20.058333;17.8;null;null;5.1;.979167;
2020-02-09;.2;906.166667;null;28.9;22.308333;18.4;null;null;11.9;2.7375;
2020-02-10;11.6;906.141667;null;30.1;21.895833;17.8;null;null;16;4.9375;
2020-02-11;26.2;905.954167;null;27.3;21.3875;20.4;null;null;7.7;1.791667;
2020-02-12;12.6;905.804167;null;22.4;19.816667;18.1;null;null;7;1.245833;
2020-02-13;9.4;905.925;null;23.1;19.9375;18.2;null;null;7.5;1.3125;
2020-02-14;0;906.120833;null;27.9;21.279167;17.4;null;null;7.6;1.970833;
2020-02-15;15.6;906.208333;null;26.8;21.2375;18.6;null;null;6.3;1.1;
2020-02-16;.2;906.091667;null;27.7;21.079167;18;null;null;8.4;1.216667;
2020-02-17;0;906.7375;null;26;20.504167;17.9;null;null;6.8;1.4125;
2020-02-18;2.4;907.429167;null;26.3;21.345833;17.9;null;null;6.5;.779167;
2020-02-19;0;905.333333;null;27.3;20.958333;17.9;null;null;7.2;.808333;
2020-02-20;1;904.325;null;28;21.641667;18;null;null;8.5;1.6375;
2020-02-21;0;903.7875;null;30.3;22.679167;18.7;null;null;11.1;2.870833;
2020-02-22;24;904.341667;null;28.6;21.641667;18.1;null;null;10.1;2.595833;
2020-02-23;26.6;907.229167;null;20.4;17.7375;16.5;null;null;9.5;3.720833;
2020-02-24;.2;907.458333;null;21.5;18.195833;16.1;null;null;7.4;1.904167;
2020-02-25;0;906.041667;null;26;21.383333;17.9;null;null;4.9;.929167;
2020-02-26;0;903.329167;null;28.3;22.65;19.3;null;null;10.1;2.833333;
2020-02-27;0;903.266667;null;28;21.9;20.2;null;null;10.9;2.879167;
