Nome: NOVA VENECIA
Codigo Estacao: A623
Latitude: -18.69527777
Longitude: -40.39055555
Altitude: 156.02
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;992.983333;20.4125;33.1;25.679167;20.3;75.083333;42;8.3;1.920833;
2020-01-02;0;991.9875;21.095833;34.7;25.991667;22.3;77.166667;42;19.8;2.0875;
2020-01-03;9.2;992;21.670833;34.2;25.5875;21.6;81.041667;44;10.4;2.108333;
2020-01-04;52.4;992.104167;21.6625;32.7;25.308333;21.5;81.75;48;14.4;3.0125;
2020-01-05;0;991.779167;21.670833;34.2;26.983333;22.2;74.875;46;9.6;2.520833;
2020-01-06;.2;992.879167;22.670833;33.9;26.1;23.4;82.791667;48;8.9;2.2375;
2020-01-07;2.8;993.870833;22.875;34.8;26.925;22.7;79.875;48;8.4;2.145833;
2020-01-08;0;994.691667;22.370833;33.3;26.791667;23.7;77.916667;51;7.9;1.8625;
2020-01-09;0;994.983333;19.8625;33.2;25.875;20.3;72.583333;38;8.8;2.195833;
2020-01-10;0;995.408333;20.095833;33.6;26.433333;21.5;71.458333;36;8.8;2.375;
2020-01-11;0;995.166667;18.945833;34.5;27.279167;21.8;65.25;30;9.6;2.7125;
2020-01-12;0;994.804167;20.4125;35.6;27.154167;20.2;70.541667;34;7.7;1.8;
2020-01-13;0;994.525;20.808333;35.6;27.545833;20.8;70.416667;34;9.1;2.020833;
2020-01-14;0;996.1625;21.35;29.4;25.766667;23.5;77.583333;55;10.4;2.616667;
2020-01-15;1;996.2125;20.370833;30.7;25.366667;21.3;74.416667;58;7.3;2.216667;
2020-01-16;0;996.325;21.270833;34.8;27.275;22.9;72.291667;39;8.7;1.945833;
2020-01-17;0;996.333333;21.154167;35.1;27.154167;21.7;72.458333;38;9;2.204167;
2020-01-18;3.8;998.5375;21.704167;30.9;25.9375;22.6;78.541667;57;7.7;2.391667;
2020-01-19;.4;997.183333;20.1125;32.7;25.479167;21;73.5;47;8;2.058333;
2020-01-20;0;994.366667;20.495833;32.9;25.691667;21.8;74.25;46;9.7;2.3375;
2020-01-21;17.8;991.829167;21.204167;30.9;24.183333;21.1;84.291667;59;8.2;1.920833;
2020-01-22;24.2;991.133333;21.854167;27.2;24.333333;21.4;86.5;73;5.9;1.841667;
2020-01-23;.8;991.4375;21.254167;26.1;24.125;22.9;84.125;71;8.9;2.6375;
2020-01-24;7.4;990.495833;21.979167;24.2;23.566667;23;90.875;85;11.7;3.35;
2020-01-25;13.2;991.425;22.2625;26.6;24.175;22.9;89.125;80;10;2.245833;
2020-01-26;6;994.133333;21.304167;25.3;22.754167;21;91.625;81;5.5;1.791667;
2020-01-27;12;994.983333;22.3125;29.3;24.125;22.4;89.875;68;7.2;1.404167;
2020-01-28;36.2;995.741667;22.616667;30.8;25.1375;22.4;86.458333;64;6.5;1.483333;
2020-01-29;.4;996.8125;22.9875;33.5;26.679167;23.2;81.458333;51;6.2;1.670833;
2020-01-30;1.2;997.775;21.575;33.2;26.858333;21.8;75.25;45;7.9;1.9875;
2020-01-31;0;996.908333;21.475;33.6;26.8875;22.5;74.75;42;7;1.7875;
2020-02-01;0;995.766667;21.208333;34.5;26.9875;22.2;73.416667;40;7.3;1.8875;
2020-02-02;0;995.616667;21.6375;34.4;27.041667;22.2;75.083333;42;6.8;1.641667;
2020-02-03;0;996.308333;21.4125;34.2;26.941667;22.7;74.625;36;9;1.983333;
2020-02-04;0;996.633333;21.608333;32.6;26.545833;22.4;76.375;47;8.5;1.954167;
2020-02-05;0;996.425;21.491667;33.2;26.541667;23.3;75.875;45;7.5;2.104167;
2020-02-06;11.2;996.779167;21.829167;31.5;25.675;22.7;80.375;53;8.2;1.683333;
2020-02-07;.2;995.766667;21.75;28.2;24.233333;22.9;86.208333;71;6.5;1.654167;
2020-02-08;4.6;995.891667;21.791667;31.6;25.408333;21.7;81.791667;56;8.8;1.875;
2020-02-09;12.4;996.5625;21.6125;34.3;26.7;22;76.625;41;11;1.629167;
2020-02-10;24.8;996.791667;21.129167;35.1;27.129167;21.6;73.291667;39;11.5;1.9;
2020-02-11;0;995.370833;22.133333;35;27.254167;23.1;76;42;12.3;2.1375;
2020-02-12;.6;996.020833;21.383333;32.2;25.4;21.8;79.625;53;7.5;2.033333;
2020-02-13;0;996.095833;21.525;31.6;26.029167;22.7;78.083333;48;7.9;1.8125;
2020-02-14;.8;996.216667;21.5125;32.6;26.358333;22.1;76.916667;42;8.2;1.458333;
2020-02-15;.2;996.291667;22.1125;33.2;26.479167;23.6;78.375;45;10.5;2.195833;
2020-02-16;0;996.033333;22.183333;34.4;26.9625;23.1;77.041667;42;9.9;2.183333;
2020-02-17;0;996.808333;22.125;32.5;26.55;22.8;78.083333;51;8.4;1.9125;
2020-02-18;.2;997.479167;20.8625;33.3;26.866667;23.1;73.041667;38;10.5;2.070833;
2020-02-19;0;995.35;21.104167;34.4;26.7375;22;74;42;9.8;2.1375;
2020-02-20;0;994.295833;20.833333;34.6;26.808333;21.1;72.75;38;9;1.733333;
2020-02-21;0;993.5375;21.9875;36;27.820833;22.3;73.5;37;8.8;1.820833;
2020-02-22;0;993.720833;22.354167;36.2;28.295833;23.4;72.833333;39;8.6;1.920833;
2020-02-23;11.6;997.566667;21.0875;27.1;23.833333;22.6;84.833333;71;10.3;3.008333;
2020-02-24;1;997.808333;20.470833;30.2;24.979167;22.5;76.208333;62;7;2.566667;
2020-02-25;.6;996.004167;21.875;34.2;26.808333;22.5;76.375;48;7.2;1.5375;
2020-02-26;0;993.2125;21.9;35.2;27.529167;22.4;74.25;41;7.4;1.791667;
2020-02-27;0;992.579167;22.358333;36.8;27.379167;22.5;76.625;39;13.9;2.183333;
2020-02-28;8;997.108333;22.145833;29.7;24.941667;22.5;84.916667;66;9;2.575;
2020-02-29;1;997.470833;21.1;32.8;26.058333;21.7;76.333333;41;8.7;2.008333;
2020-03-01;.8;996.15;22.158333;31.7;25.908333;23;80.875;52;6.1;1.604167;
2020-03-02;23;995.370833;22.408333;29.9;24.658333;22.2;87.583333;69;7.5;2.05;
2020-03-03;18.6;995.204167;21.608333;32.9;25.808333;21.9;79.458333;47;7.1;2.079167;
2020-03-04;0;994.954167;22.116667;34;26.891667;23.4;77.5;42;11.3;2.058333;
2020-03-05;29.6;995.854167;22.1125;29.8;24.2125;22.2;88.458333;68;7.1;1.995833;
2020-03-06;36.6;996.616667;19.270833;24.2;21.895833;19.3;85.166667;73;8.1;2.445833;
2020-03-07;5.6;996.220833;18.783333;22.5;20.3875;20.3;90.541667;80;7.5;1.9375;
2020-03-08;27;996.804167;19.716667;23.9;21.3625;18.7;90.541667;80;5.1;1.416667;
2020-03-09;2.6;997.6;20.741667;27.7;23.841667;21;83.208333;67;6.5;2.204167;
2020-03-10;.2;996.941667;21.654167;30;24.504167;22.3;84.333333;67;10.3;3.108333;
2020-03-11;1.4;995.941667;20.9875;29.7;24.979167;22.5;78.875;63;9.1;3.766667;
2020-03-12;1.6;996.658333;21.7625;31.3;24.854167;22.3;83.791667;56;11.5;3.016667;
2020-03-13;10.4;997.6125;22.4;29.8;24.541667;22.1;88.166667;65;8.5;1.7125;
