Nome: CURACA
Codigo Estacao: A448
Latitude: -9.00138888
Longitude: -39.9125
Altitude: 370
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;970.245833;18.6625;31.4;26.995833;23.6;61.833333;41;6.5;1.8375;
2020-01-02;null;969.808333;19.066667;34.5;27.704167;25.2;60.583333;34;13;2.216667;
2020-01-03;null;970.583333;20.120833;34.7;26.579167;25;69.375;37;15.6;1.791667;
2020-01-04;null;971.154167;20.4625;32.3;25.683333;22.5;74.791667;43;8.8;1.783333;
2020-01-05;null;970.916667;20.2125;31.9;26.225;21.3;72;44;5.4;1.420833;
2020-01-06;null;969.491667;20.145833;35.3;28.604167;24.9;62.041667;34;14.2;2.2625;
2020-01-07;null;970.758333;20.208333;34.9;28.016667;23.3;66.291667;34;10.6;1.295652;
2020-01-08;null;970.45;18.904167;35.3;29.033333;24.5;56.166667;30;7.5;2.416667;
2020-01-09;null;970.320833;16.445833;35.8;28.783333;23.6;52.125;21;13;2.016667;
2020-01-10;null;970.466667;16.308333;35.9;29.666667;23.6;47.125;26;9;2.6125;
2020-01-11;null;970.208333;15.333333;35.7;29.866667;24.5;43.458333;22;11;2.9375;
2020-01-12;null;970.9;15.2125;36.9;29.929167;23.7;44.416667;20;10.2;2.95;
2020-01-13;null;969.966667;14.916667;36.8;30.8875;24.7;40;24;9.6;2.591667;
2020-01-14;null;969.65;16.341667;36.6;30.195833;25;45.375;25;8.8;2.5375;
2020-01-15;null;970.154167;12.954167;36;29.941667;23.4;38.125;20;9.9;3.220833;
2020-01-16;null;971.675;13.7125;36.4;29.804167;23.4;40.125;21;10.3;3;
2020-01-17;null;971.433333;15.095833;35.9;30.191667;23.8;42.583333;25;9.4;2.7625;
2020-01-18;null;971.175;16.4875;37.4;30.758333;24.4;44.541667;24;12.9;3.2125;
2020-01-19;null;970.5;16.120833;36.3;30.4625;24.4;44.458333;25;12.2;3.608333;
2020-01-20;null;969.333333;16.283333;35.8;29.8625;25;46.25;26;9.4;2.708333;
2020-01-21;null;967.8625;15.116667;37.8;30.7125;24.7;40.875;18;7.7;2.141667;
2020-01-22;null;969.204167;21.104167;31.6;25.1;21.4;79.833333;41;10.7;1.920833;
2020-01-23;null;969.916667;22.05;27.9;25.05;22.4;83.666667;71;5.2;1.427273;
2020-01-24;null;970.983333;20.654167;30;25.7;22.2;74.958333;51;9.4;1.475;
2020-01-25;null;969.791667;18.283333;36.3;29.7875;24.3;56.208333;19;10.6;1.975;
2020-01-26;null;970.4125;19.933333;33.9;27.658333;27.2;65.041667;32;15.8;2.616667;
2020-01-27;null;971.195833;21.3;32.7;26.679167;21.9;74.375;43;6.8;1.7375;
2020-01-28;null;971.766667;21.254167;33.2;26.379167;22.3;74.958333;45;13.7;1.816667;
2020-01-29;null;971.879167;19.258333;33.7;27.145833;22.4;65.5;34;8.3;2.5125;
2020-01-30;null;972.029167;16.945833;33.8;27.470833;21.5;55.208333;30;9.2;2.808333;
2020-01-31;null;972.245833;17.491667;33.3;27.658333;22.6;55.666667;33;9;2.258333;
2020-02-01;null;972.020833;19.041667;34.8;28.408333;23.2;58.875;32;8.4;2.245833;
2020-02-02;null;971.666667;19.891667;31.3;27.5625;24.3;63.791667;45;10.2;2.466667;
2020-02-03;null;972.483333;21.358333;29.1;25.2125;23;79.75;59;7.6;1.795833;
2020-02-04;null;972.145833;21.2875;29.1;25.166667;22.5;79.291667;67;8.1;1.475;
2020-02-05;null;971.591667;21.6625;30;25.633333;23.1;79.208333;59;10.1;1.745833;
2020-02-06;null;971.916667;20.445833;30;25.0625;21.1;76.708333;55;9;1.341667;
2020-02-07;null;970.341667;21.333333;29.6;25.804167;23.4;76.708333;59;9.4;1.804167;
2020-02-08;null;971.0375;19.883333;31.8;25.429167;21.4;72.333333;49;8.3;1.758333;
2020-02-09;null;972.425;20.425;32.9;27.2125;23;68.75;39;7.3;1.679167;
2020-02-10;null;972.795833;20.0125;34.4;28.35;23.9;62.833333;36;8.6;2.270833;
2020-02-11;null;971.4875;19.275;34.2;28.845833;24.4;58.375;34;10.5;2.745833;
2020-02-12;null;970.595833;16.8375;33.3;27.504167;21.4;54.666667;32;8;2.133333;
2020-02-13;null;970.633333;19.629167;32.7;26.95;22.9;65.041667;45;11.6;2.029167;
2020-02-14;null;970.679167;21.025;33.3;27.833333;23.2;68.291667;44;8.8;2.783333;
2020-02-15;null;970.766667;18.65;33;27.7;23.3;60.083333;34;8.5;2.458333;
2020-02-16;null;970.645833;17.4125;33.6;27.795833;22.5;55.625;31;8.6;2.725;
2020-02-17;null;970.583333;17.158333;34;28.2125;22.1;53.416667;32;8.6;2.4125;
2020-02-18;null;970.520833;19.5875;33.7;28.254167;25.2;60.166667;41;9.8;3.2375;
2020-02-19;null;969.504167;17.7;33.9;28.379167;23.9;55.041667;28;10.1;3.025;
2020-02-20;null;969.4375;18.275;33.4;27.858333;23.3;57.041667;38;10;2.508333;
2020-02-21;null;970.633333;20.579167;29.3;25.175;21.8;76.541667;53;15;2.354167;
2020-02-22;null;970.891667;21.35;33.5;28.020833;24.2;68.833333;47;6.4;1.5;
2020-02-23;null;971.525;21.9375;33.6;28.083333;25.1;70.166667;47;9.9;1.56087;
2020-02-24;null;970.820833;19.570833;33.9;27.9125;23.6;63.083333;31;9.8;2.441667;
2020-02-25;null;970.25;19.166667;34.3;28.508333;23.8;58.583333;35;10.6;2.575;
2020-02-26;null;969.629167;18.6125;35.4;28.816667;23.9;56;31;9.3;2.1375;
2020-02-27;null;969.766667;19.7;36;29.475;23.9;57.583333;34;6.7;2.058333;
2020-02-28;null;970.675;20.166667;36.6;29.85;25.9;58.125;33;15;2.1;
2020-02-29;null;971.3625;21.1375;34.1;28.679167;24.1;65.5;40;15;2.133333;
2020-03-01;null;971.408333;20.225;33.5;28;22.4;64.791667;41;8.9;1.775;
2020-03-02;null;970.383333;20.745833;33.1;27.708333;22.9;67.333333;45;10.3;2.169565;
2020-03-03;null;970.666667;20.7625;32.4;27.554167;23.7;67.083333;49;6;1.695833;
2020-03-04;null;971.933333;21.8875;31.9;25.15;22.7;82.5;59;11.4;1.866667;
2020-03-05;null;972.608333;22.445833;30.1;25.483333;22.8;83.708333;63;8.3;1.329167;
2020-03-06;null;970.858333;21.966667;33.5;28.054167;23.9;72.208333;41;4.9;1.308333;
2020-03-07;null;970.4375;21.266667;31.6;27.4;23.3;70.541667;47;6.1;1.9375;
2020-03-08;null;969.879167;21.420833;34.4;28.0375;24.2;69.625;40;7.4;1.9;
2020-03-09;null;970.683333;20.2375;33.8;28.258333;24.1;63.625;37;7.4;1.9375;
2020-03-10;null;970.695652;20.765217;32.9;28.395652;24.1;64.478261;44;7.8;2.065217;
2020-03-11;null;969.554167;20.166667;33.1;28.516667;24;62.083333;41;5.6;1.4;
2020-03-12;null;969.6625;18.9;34.2;29.125;24.3;56.166667;33;7.7;2.320833;
2020-03-13;null;970.9375;18.291667;32.2;27.445833;23.4;58.666667;35;10.2;2.833333;
2020-03-14;null;971.291667;18.045833;32.1;27.975;23.8;56.083333;39;10.1;2.895833;
2020-03-15;null;971.008333;18.833333;32.3;27.583333;23.6;60.041667;40;8.6;2.9;
2020-03-16;null;971.833333;20.104167;27.9;25.629167;23.5;71.666667;62;7.1;2;
2020-03-17;null;971.7;19.9;33.4;27.279167;23.2;66.583333;39;5.8;1.770833;
2020-03-18;null;970.9875;22.1125;30.5;25.7875;24;80.5;55;10;1.85;
2020-03-19;null;969.629167;21.941667;31.8;26.370833;23;77.958333;54;7;1.4;
2020-03-20;null;969.725;21.195833;33;26.916667;23.5;72.208333;46;8.3;1.6875;
2020-03-21;null;970.920833;21.216667;32.3;26.858333;22.9;72.708333;47;9;1.766667;
2020-03-22;null;971.270833;21.775;34.1;27.770833;22.8;71.5;42;6.4;1.175;
2020-03-23;null;972.108333;21.491667;28.8;26.183333;23.9;75.791667;60;7.9;1.754167;
2020-03-24;null;971.191667;20.025;32.9;26.883333;21.5;68.5;43;7.3;1.904167;
2020-03-25;null;970.933333;20.2375;32.5;26.658333;24.1;68.583333;44;9;2.241667;
2020-03-26;null;970.683333;20.566667;30.4;25.891667;21.7;73.541667;51;8.9;2.029167;
2020-03-27;null;969.895833;20.833333;33.2;26.083333;22.1;74.541667;42;10;2.495833;
2020-03-28;null;971.0375;19.529167;33.2;27.320833;22.4;65.708333;36;10.3;3;
2020-03-29;null;971.941667;21.445833;31;25.566667;22.5;78.833333;55;11;2.816667;
2020-03-30;null;970.525;19.158333;31.9;26.395833;22.5;66.666667;39;11.1;2.845833;
2020-03-31;null;969.958333;20.225;30.4;26.479167;22.8;69.125;54;8.4;2.454167;
2020-04-01;null;970.8;19.570833;32.7;26.320833;20.7;68.125;39;13.4;3.2375;
2020-04-02;null;972.345833;20.270833;30.5;25.9625;22.3;71.625;55;9.6;1.879167;
2020-04-03;null;970.970833;20.4125;32.2;26.933333;23;68.666667;50;6.5;1.716667;
2020-04-04;null;969.733333;21.120833;34.2;28.591667;23.9;65.666667;42;10.2;1.820833;
2020-04-05;null;970.566667;21.229167;34.2;28.070833;24.3;67.041667;43;11.4;1.783333;
2020-04-06;null;971.8875;18.429167;35.1;28.854167;23.4;57.25;30;9.5;2.341667;
2020-04-07;null;971.629167;18.7125;33.8;28.254167;24.4;57.75;38;7.6;2.525;
2020-04-08;null;970.129167;17.770833;36.2;28.783333;22.2;53.958333;29;8.1;1.975;
2020-04-09;null;969.8;19.425;35.1;29.254167;23.9;56.791667;36;7;2.2375;
2020-04-10;null;970.570833;21.575;34.7;27.454167;23.7;71.75;39;7.9;1.454167;
2020-04-11;null;970.933333;21.841667;32.6;27.075;23.7;74.458333;47;7.5;1.879167;
2020-04-12;null;970.979167;21.229167;33.4;27.608333;23.1;70.083333;43;8.9;1.5125;
2020-04-13;null;970.220833;20.991667;33.2;27.183333;23.6;70.125;45;10;2.0375;
2020-04-14;null;969.854167;21.220833;31.8;26.058333;23.1;75.875;47;7.7;1.720833;
2020-04-15;null;971.079167;20.5375;32.5;26.404167;22.9;71.625;44;9.1;1.504167;
2020-04-16;null;972.866667;21.058333;31.6;26.091667;22.1;75.458333;50;9.9;2.169565;
2020-04-17;null;972.9625;20.75;33.7;26.520833;23.2;71.75;42;14.5;2.125;
2020-04-18;null;972.841667;20.933333;32.5;26.6625;21.9;73.125;42;6;1.495833;
2020-04-19;null;973;21.220833;31.3;25.504167;22.2;78.333333;51;11;2.6875;
2020-04-20;null;972.3875;20.808333;32.2;25.95;22.8;74.208333;48;9;2.283333;
2020-04-21;null;972.158333;20.254167;31;25.808333;21.5;73.125;47;9.3;2.066667;
2020-04-22;null;972.029167;18.541667;31.2;25.3625;22.1;68.458333;36;6;1.8125;
2020-04-23;null;971.520833;19.954167;31.1;25.4375;21.4;72.708333;51;7.3;1.916667;
2020-04-24;null;972.208333;21.058333;30.3;24.833333;23.3;80.083333;60;10.5;2.891667;
2020-04-25;null;973.291667;20.375;26.4;23.504167;21.6;82.791667;69;10.2;3.170833;
2020-04-26;null;973.004167;19.070833;31.5;25.325;20.5;71.125;41;8.9;2.579167;
2020-04-27;null;973.595833;19.866667;30.1;24.495833;21.2;76.083333;23;14.6;2.816667;
2020-04-28;null;974.0375;19.370833;28.3;24.55;21.8;73.416667;59;11.4;3.704167;
2020-04-29;null;974.0625;18.620833;31.3;25.495833;20.8;67.458333;41;10.4;3.195833;
2020-04-30;null;973.716667;18.966667;30.4;25.354167;20.4;69.083333;42;9.9;2.520833;
2020-05-01;null;974.516667;19.715789;30.6;25.666667;22.7;69.315789;52;9.5;2.308333;
2020-05-02;null;973.595833;null;29.9;25.204167;21.8;null;null;6.8;1.520833;
2020-05-03;null;972.1;null;32.6;25.579167;21.8;null;50;7.4;1.904167;
2020-05-04;null;971.541667;19.966667;31.3;26.3875;22.8;69.625;45;8.6;2.441667;
2020-05-05;null;971.95;18.12;31.9;25.733333;20.1;64.7;37;11.1;2.683333;
2020-05-06;null;972.245833;18.722222;31.5;26.6875;22.7;66.333333;43;8.5;2.8;
2020-05-07;null;971.779167;19.095;32.8;26.366667;21.5;63.45;43;8.5;2.283333;
2020-05-08;null;973.091667;null;30;25.9875;23.1;null;65;8.8;1.7875;
2020-05-09;null;974.658333;null;27.9;24.1625;22;null;null;10.3;3.370833;
2020-05-10;null;975.233333;null;29;23.870833;20.7;null;39;11;3.816667;
2020-05-11;null;974.354167;null;31;24.991667;21.2;63.733333;40;8.9;3.6;
2020-05-12;null;973.108333;null;30.4;25.7875;21.2;64.1875;35;10;3.025;
2020-05-13;null;972.5125;null;30.9;25.741667;22.3;null;24;9.8;2.729167;
2020-05-14;null;972.7;null;32.3;25.875;22.2;null;38;10;2.620833;
2020-05-15;null;972.945833;null;32.9;26.775;21.2;null;null;8.4;2.4125;
2020-05-16;null;972.866667;null;33.2;26.483333;20.7;null;50;7.9;2.395833;
2020-05-17;null;972.875;null;33.7;26.858333;21.4;48.928571;34;8.5;2.245833;
2020-05-18;null;973.875;16.991667;33.1;26.733333;21.6;57.666667;35;8.8;2.625;
2020-05-19;null;974.383333;18.795652;32.1;25.775;21.9;66.521739;43;10.1;3.0125;
2020-05-20;null;974.5;21.15;28.2;23.916667;22.7;84.75;67;9.5;3.083333;
2020-05-21;null;974.225;21.016667;28.6;24.229167;21.2;82.708333;65;11.5;2.533333;
2020-05-22;null;974.033333;19.341667;31.6;25.991667;21.5;68.541667;43;8.6;2.766667;
2020-05-23;null;973.691667;18.554167;31.8;26.3625;22.1;64.666667;39;7.9;2.583333;
2020-05-24;null;973.508333;19.947826;29.7;25.466667;22.1;71.869565;53;7.5;2.225;
2020-05-25;null;972.7125;19.683333;33.6;26.7;21.7;67.583333;42;8.1;1.733333;
2020-05-26;null;972.929167;20.908333;30.5;26.033333;23.2;73.75;57;10.5;1.808333;
2020-05-27;null;972.070833;null;33.8;26.966667;22.3;null;80;6.4;1.170833;
2020-05-28;null;972.554167;null;28.2;24.358333;22.5;null;70;10.3;1.6625;
2020-05-29;null;974.441667;16.972222;27.7;23.770833;21.3;64.111111;49;10;3.291667;
2020-05-30;null;974.358333;17.379167;28.3;23.716667;18.8;68.541667;52;9.4;2.691667;
2020-05-31;null;974.254167;18.329167;26.9;24.304167;21.2;69.791667;60;7.6;2.5625;
2020-06-01;null;973.641667;19.463636;29.1;24.791667;22.2;71.681818;58;8.3;2.15;
2020-06-02;null;973.670833;null;31.3;25.004167;21.1;null;76;6.1;1.4375;
2020-06-03;null;973.754167;19.441667;32.1;26.295833;22.6;67.583333;42;8.2;2.395833;
2020-06-04;null;974.033333;null;31.5;26.229167;23;60.785714;42;10.9;3.008333;
2020-06-05;null;975.35;null;29.8;25.183333;21.1;null;null;8.9;2.725;
2020-06-06;null;975.141667;null;29.1;24.6;21.1;null;null;9.9;2.879167;
2020-06-07;null;975.383333;null;29;24.341667;20.8;null;null;7.9;2.4375;
2020-06-08;null;974.270833;null;29.8;25.258333;20.7;null;null;9.8;3.045833;
2020-06-09;null;973.683333;null;30.5;25.233333;20.4;null;40;9;2.604167;
2020-06-10;null;973.791667;null;31.5;25.3125;21.3;null;38;9.2;2.570833;
2020-06-11;null;974.204167;null;31.7;25.466667;20.8;null;33;13.2;2.966667;
2020-06-12;null;973.329167;null;31.5;25.129167;19.8;null;33;10;3.0875;
2020-06-13;null;974.275;null;28;22.8625;18.3;null;61;10;2.470833;
2020-06-14;null;975.154167;null;28.4;23.454167;20.8;null;55;10.4;2.495833;
2020-06-15;null;975.533333;null;29;23.041667;18.1;63.230769;47;12.6;3.329167;
2020-06-16;null;975.675;null;28.4;23.741667;21.3;null;53;13.3;3.375;
2020-06-17;null;975.004167;null;28.3;23.354167;20.4;null;49;13;3.6375;
2020-06-18;null;974.820833;17.995;30.5;22.9625;16.6;70.25;47;10.5;2.9875;
2020-06-19;null;975.270833;null;30.3;23.879167;18;61.416667;48;10.1;2.570833;
2020-06-20;null;975.595833;16.966667;30.3;25.4;21.4;61.166667;42;12.5;3.991667;
2020-06-21;null;975.275;16.65;31.2;24.316667;19.8;64.333333;37;14.3;3.5625;
2020-06-22;null;974.516667;null;30;23.341667;17.1;64.705882;47;11.1;2.795833;
2020-06-23;null;972.7625;null;26.6;22.779167;21.3;84.083333;67;9;2.5125;
2020-06-24;null;973.345833;null;29.5;23.3625;19.6;57.416667;42;11;3.195833;
2020-06-25;null;973.925;null;26.6;22.358333;19.9;null;71;9.8;2.591667;
2020-06-26;null;973.833333;null;30.8;24.25;18.8;46.615385;33;10.7;2.683333;
2020-06-27;null;972.075;null;31.5;24.425;18.9;49.857143;33;7.8;2.466667;
2020-06-28;null;973.170833;null;31.4;24.808333;18.6;50.2;34;8.8;2.675;
2020-06-29;null;973.895833;null;30.2;24.504167;20.9;55.470588;34;9.8;3.354167;
2020-06-30;null;973.208333;null;30.4;24.316667;18.6;51.214286;36;9.7;2.441667;
2020-07-01;null;972.4375;14.257143;31.3;24.929167;19;53.095238;26;7.6;2.466667;
2020-07-02;null;971.983333;null;32.5;24.583333;16.8;41.5;25;7.6;1.908333;
2020-07-03;null;973.079167;null;30.9;24.2625;18.6;54.875;32;8.7;2.3625;
2020-07-04;null;973.270833;null;31.9;24.870833;18.1;48.588235;31;9.9;3.1125;
2020-07-05;null;974.2375;16.979167;28.7;23.6;18.6;67.25;47;10.8;3.516667;
2020-07-06;null;973.616667;16.621739;29.8;24.508333;20.8;62.565217;38;10.2;3.616667;
2020-07-07;null;973.3625;14.4;30.3;23.370833;16.2;56.428571;34;10.6;2.683333;
2020-07-08;null;972.816667;null;31.8;24.679167;17.9;59;34;10.7;2.179167;
2020-07-09;null;974.170833;null;32.8;25.783333;21;42.230769;29;10.8;2.458333;
2020-07-10;null;974.866667;null;29.1;25.104167;21.8;58.8125;42;12.3;3.570833;
2020-07-11;null;974.866667;14.904167;30.7;25.1125;21.5;54.708333;33;10.3;3.454167;
2020-07-12;null;974.3375;null;29;24.070833;19.8;63.75;49;9.3;3.3875;
2020-07-13;null;974.729167;null;32.2;25.183333;19.3;39.384615;27;12.5;2.920833;
2020-07-14;null;974.7375;15.957895;31.9;24.995833;18.7;55.105263;32;9.1;2.675;
2020-07-15;null;974.825;15.625;32.4;25.008333;18.4;54.95;31;11.9;3.1125;
2020-07-16;null;976.229167;null;29.6;23.479167;20.6;64.142857;43;13.7;3.6625;
2020-07-17;null;975.783333;null;31.4;24.3375;17.8;39.307692;24;11.6;3.325;
2020-07-18;null;975.479167;14.781818;30.6;24.683333;20.3;54.863636;33;13.8;4.1875;
2020-07-19;null;974.829167;16.266667;29.4;23.775;19.4;63.916667;44;12.5;3.483333;
2020-07-20;null;974.783333;15.273913;28.5;23.941667;20.8;59;44;11.1;3.65;
2020-07-21;null;973.75;16.304545;29.5;23.654167;18.4;63.545455;44;10.5;3.079167;
2020-07-22;null;973.9;null;27.5;21.866667;19.9;null;64;11.9;2.7375;
2020-07-23;null;974.558333;null;30.3;23.354167;17.7;null;17;10.4;3.179167;
2020-07-24;null;974.854167;null;29.8;23.229167;17.7;null;36;11;3.245833;
2020-07-25;null;975.65;null;29.5;23.566667;18.6;51.857143;37;11.8;3.558333;
2020-07-26;null;975.645833;null;30;23.108333;15.5;50.571429;29;10.9;3.195833;
2020-07-27;null;975.358333;null;30.2;23.341667;16.2;50.916667;39;12.2;3.791667;
2020-07-28;null;975.0125;null;31.3;23.995833;16.2;43.333333;27;12.6;3.679167;
2020-07-29;null;975.316667;null;28.9;23.779167;20.7;null;48;11.7;3.354167;
2020-07-30;null;975.508333;null;30.2;24.183333;19.4;39.857143;27;10.8;3.6875;
2020-07-31;null;976.020833;null;29.1;22.933333;17.5;51.466667;41;14.3;3.595833;
2020-08-01;null;976.504167;null;28.7;22.941667;19.4;58.833333;48;12.2;4.266667;
2020-08-02;null;977.575;null;27.7;22.9625;18.6;58.785714;49;11.4;3.370833;
2020-08-03;null;978.854167;null;28.1;23.541667;20.4;null;45;12.3;4.104167;
2020-08-04;null;978.15;null;28.8;23.508333;19.2;54.5;40;11.9;3.4625;
2020-08-05;null;977.825;null;28.6;22.295833;17.1;null;40;12.9;3.533333;
2020-08-06;null;977.333333;null;29.9;23.2;18;49.5625;30;13.2;3.958333;
2020-08-07;null;977.441667;null;30.2;23.370833;18;47.785714;31;13.2;4.091667;
2020-08-08;null;977.604167;null;30.1;23.033333;16.5;null;41;9.9;3.275;
2020-08-09;null;976.85;null;30.6;24.108333;19;null;38;10.8;3.483333;
2020-08-10;null;974.975;null;31.4;24.641667;17.9;40.083333;30;10.4;3.3125;
2020-08-11;null;974.125;null;31.4;24.341667;16.9;44.2;30;10;3.041667;
2020-08-12;null;973.3375;null;31.7;24.633333;16.8;43;24;11.2;3.420833;
2020-08-13;null;973.379167;null;32.1;24.8375;18.3;47.571429;30;11.2;3.166667;
2020-08-14;null;973.158333;null;31.5;24.916667;20.2;null;30;11.8;3.445833;
2020-08-15;null;972.054167;null;32.4;25.104167;17.5;41.571429;27;10.9;2.854167;
2020-08-16;null;972.0625;null;33.7;26.295833;19.4;39.294118;23;9;2.608333;
2020-08-17;null;972.370833;null;33.1;26.683333;20.6;41.588235;24;10.3;3.9375;
2020-08-18;null;972.4125;13.847368;30.7;24.608333;18.2;48.578947;31;11.8;3.458333;
2020-08-19;null;972.745833;null;33.2;26.254167;21.1;39.058824;22;9.3;2.829167;
2020-08-20;null;973.35;null;34;26.241667;19.2;41.3125;24;9.2;2.8125;
2020-08-21;null;972.433333;null;33.2;26.383333;21;41.083333;30;9.8;2.941667;
2020-08-22;null;972.454167;null;33.9;26.6625;19.8;40.5625;25;10.1;3.441667;
2020-08-23;null;973.670833;null;33.3;25.908333;18.5;40.928571;26;11.2;3.55;
2020-08-24;null;973.416667;null;32.1;25.775;19.9;49.625;34;9.6;3.375;
2020-08-25;null;972.308333;null;31.3;25.375;21.5;55.666667;35;9.6;3.475;
2020-08-26;null;972.779167;null;31;24.991667;20.8;48;32;10.2;3.2875;
2020-08-27;null;973.720833;10.011111;32.6;25.55;18.4;35.388889;21;12;3.354167;
2020-08-28;null;973.920833;11.055556;32.8;25.870833;18.5;37.611111;21;10.1;3.241667;
2020-08-29;null;973.316667;null;32.7;26.354167;21.5;45.642857;17;10;3.725;
2020-08-30;null;973.683333;null;33.6;26.958333;22.8;null;25;12.7;4.291667;
2020-08-31;null;974.8125;13.7;32.8;26.304167;20.3;46.47619;26;13.3;4.2;
2020-09-01;null;974.995833;14.31;32.2;25.820833;20.2;48.55;29;12.2;4.208333;
2020-09-02;null;974.858333;14;30.7;24.716667;20;53.583333;32;13.1;4.1;
2020-09-03;null;973.375;null;33.3;25.908333;19.9;35.5;15;11.7;4.179167;
2020-09-04;null;974.791667;12.07;33.6;26.1375;18.8;42.3;21;12.5;3.4375;
2020-09-05;null;975.483333;11.914286;32.1;25.2625;18.5;44.428571;23;11.9;3.8875;
2020-09-06;null;973.304167;12.468421;32.5;25.5875;19;42.789474;25;11.5;3.5875;
2020-09-07;null;971.9125;null;32.3;25.779167;18.1;44.4375;29;11.4;3.345833;
2020-09-08;null;971.9;14.842105;32.9;26.5125;20.6;47.421053;27;10.9;3.8625;
2020-09-09;null;974.133333;null;33.7;26.454167;18.7;35.875;17;11.3;3.233333;
2020-09-10;null;975.279167;14.85;32.4;26.3375;20.8;48.555556;31;12.7;3.691667;
2020-09-11;null;973.5625;null;32;25.7;21.3;44.764706;28;11.4;3.958333;
2020-09-12;null;973.591667;11.56;33;25.866667;18.7;40.9;20;11.7;4.291667;
2020-09-13;null;975.054167;14.281818;32.1;25.3625;19.2;51.545455;27;13.1;4.4;
2020-09-14;null;975.0875;12.05;33.4;26.625;20.9;42.3;17;14;4.104167;
2020-09-15;null;974.283333;14.015789;33.2;26.470833;20.7;45.157895;27;13.1;3.95;
2020-09-16;null;973.5875;null;32.8;26.720833;22.2;39.941176;26;11.5;3.908333;
2020-09-17;null;973.270833;null;33.8;26.3875;19.3;38.058824;20;10.7;3.454167;
2020-09-18;null;972.5375;10.872222;34.8;26.945833;18.5;34.555556;20;9.2;2.779167;
2020-09-19;null;972.279167;10.42;35.3;27.583333;20.2;36.3;17;14.6;3.229167;
2020-09-20;null;971.679167;11.4;35.2;27.433333;19.7;36.947368;18;10.3;2.7375;
2020-09-21;null;971.745833;14.025;35.1;27.979167;21.3;45.916667;23;10.5;2.65;
2020-09-22;null;973.133333;15.5625;34.4;28.083333;22.8;49.5;27;8.5;3.045833;
2020-09-23;null;974.3875;15.529167;34.7;27.958333;22.5;49.375;27;11.1;3.991667;
2020-09-24;null;974.279167;13.241667;34.9;27.425;20.3;45.416667;21;11.5;4.1125;
2020-09-25;null;973.966667;12.695833;33.6;26.966667;20;45.291667;19;10.1;3.725;
2020-09-26;null;972.8;14.8375;31.4;26.066667;21.1;52.208333;29;10.1;3.458333;
2020-09-27;null;971.854167;14.4;33.9;27.625;21.6;47.25;25;9.6;3.191667;
2020-09-28;null;971.045833;15.419048;35.7;28.295833;22.1;46.095238;26;9.9;3.25;
2020-09-29;null;972.008333;14.094737;36.1;29.116667;22.4;42.052632;20;10.4;3.795833;
2020-09-30;null;972.625;13.616667;34.7;27.75;21.7;39.833333;23;12.4;3.908333;
2020-10-01;null;971.370833;null;35.3;27.708333;20.6;35.117647;18;12;3.841667;
2020-10-02;null;971.325;12.76087;34.6;27.658333;20.5;43.304348;20;11.3;3.741667;
2020-10-03;null;971.666667;null;35.5;27.720833;20.6;44.235294;20;10.9;3.429167;
2020-10-04;null;971.283333;12.37619;37;28.883333;20.5;40.571429;15;10.3;3.8375;
2020-10-05;null;972.070833;12.361905;35.5;28.375;22.1;39.238095;14;11.7;4.291667;
2020-10-06;null;972.6125;11.95;35.5;27.895833;21;38.2;16;12.1;3.433333;
2020-10-07;null;973.045833;null;36.5;28.4625;21;32.176471;15;10.9;2.95;
2020-10-08;null;971.308333;12.844444;38.1;30.2625;22.8;37.166667;17;8.1;2.579167;
2020-10-09;null;970.725;13.804762;37.6;30.708333;24.2;37.619048;18;11;3.004167;
2020-10-10;null;970.166667;13.333333;37.6;31.133333;25;34.222222;22;7.7;2.4125;
2020-10-11;null;970.420833;12.795833;37.9;30.816667;24.3;35.416667;17;7.9;1.9;
2020-10-12;null;971.591667;11.904167;36.5;30.616667;24.6;35.041667;15;11.2;2.65;
2020-10-13;null;971.683333;12.016667;36.2;28.95;22.3;40.75;14;13;3.920833;
2020-10-14;null;972.320833;13.2625;35;28.066667;22.4;43.458333;21;13.6;4.1;
2020-10-15;null;971.179167;13.254167;36.9;29.2375;22;42.5;17;13.5;3.391667;
2020-10-16;null;971.35;11.791667;37.5;29.720833;21.5;39.666667;13;10.4;3.6375;
2020-10-17;null;null;null;35.9;null;22.7;35.470588;20;11.4;null;
2020-10-18;null;null;null;null;null;null;32.461538;22;10.6;null;
2020-10-19;null;null;null;null;null;null;31.5;18;13.7;null;
2020-10-20;null;null;null;null;null;null;35.166667;15;9.9;null;
2020-10-21;null;null;null;null;null;null;37.307692;20;9;null;
2020-10-22;null;null;null;null;null;null;39.461538;24;7.8;null;
