Nome: MONTALVANIA
Codigo Estacao: A526
Latitude: -14.40833333
Longitude: -44.40416666
Altitude: 519.52
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;10.6;951.45;19.583333;33.6;25.220833;21.8;73.625;36;13.4;2.1;
2020-01-02;49.2;952.4125;20.2375;31.2;23.758333;20.2;81.625;50;11.1;2.004167;
2020-01-03;2.6;953.070833;20.070833;30.8;23.825;21.1;80.833333;48;13.8;1.833333;
2020-01-04;18.8;952.754167;20.554167;31.1;24.275;21;80.958333;50;11.3;2.175;
2020-01-05;46.2;953.395833;20.229167;28.2;23.379167;21.4;82.916667;64;10.2;2.154167;
2020-01-06;2.6;953.079167;20.645833;32.2;24.5125;21.5;80.25;48;10.4;2.233333;
2020-01-07;45.2;954.0875;20.158333;31.3;25.3125;21.3;75.625;43;5.4;1.5375;
2020-01-08;0;952.820833;19.441667;34.5;26.6625;19.7;68.708333;33;6.7;1.2375;
2020-01-09;0;952.3125;20.670833;34.8;27.445833;21.8;69.5;35;6.3;1.5;
2020-01-10;0;952.9875;18.895833;33.2;27.041667;21.3;65.083333;31;7.6;1.5375;
2020-01-11;0;953.0375;16.9375;33.9;25.266667;17.2;64.958333;26;6.1;1.3625;
2020-01-12;0;953.3625;17.225;35.3;25.916667;18.4;64.125;24;7;1.3875;
2020-01-13;0;952.9875;16.4125;35.2;25.791667;17.5;63;18;6.9;1.4125;
2020-01-14;0;952.379167;17.579167;35.1;26.225;18.2;63.333333;31;6.9;1.616667;
2020-01-15;0;952.820833;17.104167;33.6;25.7875;18.9;63.625;26;8.5;1.795833;
2020-01-16;0;954.2125;15.991667;34.1;24.654167;15.6;63.458333;29;5.9;1.595833;
2020-01-17;0;953.8875;17.75;35.5;26.7625;18.8;62.625;29;5.8;1.55;
2020-01-18;0;954.4125;19.358333;33.9;27.633333;23;63.375;34;7.7;2.079167;
2020-01-19;0;953.575;18.35;33.8;26.6625;20.3;63.583333;33;8.5;1.770833;
2020-01-20;0;951.5625;17.795833;34.8;26.083333;18.2;64.541667;28;6.8;1.3875;
2020-01-21;9.8;950.904167;20.370833;26.6;23.804167;21.9;81.458333;58;7.2;1.6625;
2020-01-22;9;951.1125;20.716667;29.5;23.708333;21.7;83.75;60;9;1.683333;
2020-01-23;6.2;951.533333;20.591667;25.7;23.079167;21.2;86;75;8.2;2.1625;
2020-01-24;17;952.4125;20.2625;24.4;22.333333;21;88.166667;81;11.2;2.358333;
2020-01-25;9.6;952.8125;20.875;30.9;25.058333;21.7;78.916667;52;9;1.7375;
2020-01-26;6.4;953.979167;20.520833;29.6;23.266667;20.5;84.958333;60;13.2;2.070833;
2020-01-27;25.2;954.4;20.241667;29.6;23.766667;20.2;81.75;56;8.5;1.945833;
2020-01-28;.4;955.270833;20.445833;30.1;24.0125;20.9;81.375;55;7.8;1.729167;
2020-01-29;.2;955.466667;20.4625;31.6;25.433333;20.8;76;47;6.1;1.316667;
2020-01-30;0;955.434783;20.330435;32.1;25.813043;20.2;73.869565;44;7.3;1.626087;
2020-01-31;0;955.366667;18.770833;31.5;24.816667;18.8;72.291667;37;7.9;1.729167;
2020-02-01;0;954.678261;18.073913;33;25.013043;18;69.478261;30;7.1;1.343478;
2020-02-02;0;953.816667;18.191667;33.7;25.175;17.6;69;33;5.5;1.316667;
2020-02-03;0;953.845833;21.016667;32.7;26.770833;22.5;72.333333;48;9.6;1.720833;
2020-02-04;3.6;954.975;21.316667;29.6;24.108333;22.1;84.791667;62;11.5;1.625;
2020-02-05;2.2;954.6375;21.295833;31.5;24.6125;21.1;82.666667;53;7.6;1.3875;
2020-02-06;8.2;954.716667;20.791667;27.8;23.958333;21.1;82.958333;63;6.8;1.286957;
2020-02-07;0;953.6625;19.583333;28.6;22.425;19.9;84.375;59;9.4;1.266667;
2020-02-08;7.8;954.925;19.591667;25.2;21.791667;20.1;87.666667;75;10.7;1.179167;
2020-02-09;1.4;956.6875;20.166667;28;22.725;20;85.958333;63;5.2;.9375;
2020-02-10;5.4;956.504167;20.820833;33;25.975;21.3;75.625;44;6.1;1.079167;
2020-02-11;.2;954.370833;20.508333;33.8;26.029167;20.2;74.208333;42;6.1;1.4375;
2020-02-12;0;953.066667;21.058333;32.2;25.554167;20.4;77.958333;51;6.7;1.608333;
2020-02-13;0;953.425;19.670833;33.6;25.583333;19.1;73.125;38;6.5;1.345833;
2020-02-14;0;953.75;19.983333;33;25;19.9;75.916667;46;6.9;1.708333;
2020-02-15;0;953.5125;19.316667;33.8;25.5625;19.1;71.833333;39;8;1.945833;
2020-02-16;0;953.416667;19.516667;33.7;25.541667;19.3;72.208333;42;6.8;1.65;
2020-02-17;0;953.641667;18.541667;32.4;24.670833;19.2;71.75;42;7.3;1.795833;
2020-02-18;0;953.891667;18.15;33.8;24.670833;17.5;70.916667;38;8;1.75;
2020-02-19;0;952.383333;18.829167;34.8;25.5875;18.4;69.583333;37;7.7;1.641667;
2020-02-20;0;952.5625;18.266667;35.2;25.2625;18.1;68.875;33;10;1.7125;
2020-02-21;0;952.904167;18.6625;36.1;26.225;18.9;67.333333;35;7.5;1.754167;
2020-02-22;0;953.833333;19.2375;36.3;26.5625;19.4;67.791667;34;6.6;1.4125;
2020-02-23;0;954.845833;20.454167;34.8;25.883333;21.7;73.916667;42;11.5;1.6;
2020-02-24;1;954.208333;19.879167;35.2;25.891667;19.8;73.041667;36;8.3;1.808333;
2020-02-25;.2;953.766667;19.633333;36.3;26.8375;20.9;68.25;32;10.8;1.795833;
2020-02-26;0;952.254167;18.495833;38.4;26.979167;19.5;64.708333;26;6.7;1.6125;
2020-02-27;0;952.079167;19.404167;37;27.745833;20.1;64.375;32;8.1;1.6875;
2020-02-28;0;954.166667;20.0875;32.8;26.179167;21.5;71.333333;44;9.9;1.808333;
2020-02-29;0;955.208333;20.3625;33.7;26.004167;21.3;73.458333;41;6.9;1.483333;
2020-03-01;0;954.479167;20.683333;34.3;24.833333;22;79.458333;42;11.4;1.804167;
2020-03-02;10.2;953.070833;20.9875;31.9;24.2375;20.7;83.041667;53;7.7;1.616667;
2020-03-03;14.2;953.9625;20.633333;30.7;23.5875;21.1;84.291667;58;11.6;2.070833;
2020-03-04;26.4;954.5;21.220833;32.6;25.095833;20.7;80.5;49;10.6;1.516667;
2020-03-05;.6;954.9875;21.545833;30.2;24.845833;22.4;82.708333;59;9.2;1.4125;
2020-03-06;13.6;954.475;20.966667;31.7;24.420833;21.3;82.375;53;13.8;1.920833;
2020-03-07;40;953.195833;21.383333;30.6;24.575;21.3;83.541667;57;9.8;1.295833;
2020-03-08;1;953.695833;21.254167;27.4;23.308333;22;88.541667;70;6.4;1.433333;
2020-03-09;16.6;954.620833;21.454167;31.6;24.483333;21.8;84.333333;53;11;1.458333;
2020-03-10;35.4;954.729167;21.158333;30.4;23.883333;22;85.333333;58;9.5;1.758333;
2020-03-11;20.8;954.095833;20.4875;29.1;23.608333;20.9;83.375;61;8.4;1.433333;
2020-03-12;.2;953.945833;21.004167;32.2;24.808333;20.6;80.625;49;7.3;1.666667;
2020-03-13;.6;954.7375;20;31.1;24.470833;20.1;77.916667;48;7.2;2.045833;
2020-03-14;0;955.2625;19.379167;30.9;24.1875;19.3;76.625;49;7.2;1.7125;
2020-03-15;0;955.420833;18.9625;30.2;23.929167;20.1;75.583333;47;7.7;2.158333;
2020-03-16;0;955.0375;18.891667;31.5;24.2625;19.3;74.666667;44;6.5;1.579167;
2020-03-17;.2;954.7375;19.633333;31.9;24.333333;19.5;77.416667;43;5;1.2;
2020-03-18;.2;953.9;20.5375;32.9;25.608333;20.7;75.916667;43;5.7;1.1875;
2020-03-19;0;952.370833;19.854167;33.6;25.129167;19.1;75.333333;45;6.5;1.429167;
2020-03-20;0;951.495833;20.375;33.2;25.025;19.8;77.5;47;11.8;1.7375;
2020-03-21;18.2;952.925;21.066667;31.7;24.745833;21.3;81.041667;53;9.1;1.508333;
2020-03-22;0;954.245833;20.8125;33.4;24.841667;21;80.583333;42;7.4;1.491667;
2020-03-23;17.2;955.008333;21.016667;31;24.533333;21.2;82;54;6.3;1.433333;
2020-03-24;10.4;955.441667;19.929167;23.9;21.870833;19.6;88.791667;80;7.5;2.016667;
2020-03-25;5.6;954.808333;19.866667;26.9;22.466667;20.3;85.708333;66;6.3;2.05;
2020-03-26;2.4;954.075;20.145833;27.8;23.045833;20.4;84.25;65;5.6;1.366667;
2020-03-27;.2;953.608333;19.929167;30.5;24.333333;21.2;77.958333;52;7.3;1.645833;
2020-03-28;0;955.354167;19.333333;30;23.879167;19;77.333333;51;7.6;1.766667;
2020-03-29;0;956.120833;19.170833;29.8;23.420833;17.9;78.833333;55;8.1;1.775;
2020-03-30;0;955.042857;18.77619;31.6;null;17.8;76.333333;45;10.1;2.252381;
2020-03-31;null;953.726087;18.53913;32.1;23.917391;16.9;74.956522;43;6.2;1.469565;
2020-04-01;0;954.179167;18.8125;32.1;24.041667;17.7;75.416667;45;6.4;1.525;
2020-04-02;0;955.275;19.008333;33;24.070833;17.1;76.25;39;6.7;1.208333;
2020-04-03;0;952.945833;18.904167;34.1;24.6875;17.2;74;38;7.2;1.383333;
2020-04-04;0;952.1625;20.3375;35.2;26.425;19.3;72.5;36;6.3;1.3625;
2020-04-05;0;953.870833;21.125;33.9;25.883333;21;76.666667;45;9.2;1.6125;
2020-04-06;0;955.129167;21.4125;32.2;25.7125;20.4;78.583333;52;6.7;1.370833;
2020-04-07;2.4;954.391667;20.929167;33.7;26.0875;20.2;75.958333;44;6;1.25;
2020-04-08;0;953.141667;20.966667;35.4;26.25;20.4;74.833333;41;7.3;1.420833;
2020-04-09;9.8;953.35;20.95;30.8;24.8875;21.8;80.333333;49;15.3;1.758333;
2020-04-10;16;953.675;20.783333;30.8;23.158333;20.9;87.083333;55;11.1;.970833;
2020-04-11;71.6;953.945833;21.1;30.9;24.275;20.7;83.625;54;6.6;1.066667;
2020-04-12;.4;954.779167;20.225;32;24.091667;20.3;80.75;48;10.9;1.4375;
2020-04-13;32.4;954.454167;20.354167;30.5;24.533333;20.8;79.041667;53;8.4;1.7625;
2020-04-14;.2;953.420833;19.045833;28.5;23.254167;18.5;77.916667;60;6.5;1.6125;
2020-04-15;46.4;954.975;19.65;23.7;21.204167;19.8;90.791667;82;7.1;1.608333;
2020-04-16;15;956.858333;20.620833;30.1;23.8;20.3;83.208333;54;6.7;1.129167;
2020-04-17;.2;956.908333;19.566667;30.6;24.016667;19.1;77.875;52;7.3;1.895833;
2020-04-18;0;957.058333;19.491667;29.8;22.7875;18.3;83.041667;56;10.3;1.904167;
2020-04-19;.8;957.504167;19.370833;27.8;23.075;19.1;80.458333;61;7.6;1.854167;
2020-04-20;0;957.075;18.65;27.8;22.85;17.8;78.166667;59;7.1;1.845833;
2020-04-21;0;955.9875;18.470833;29.8;22.8;17.1;78.416667;50;5.9;1.329167;
2020-04-22;0;954.9875;18.9625;30.5;23.383333;18.6;78.083333;51;5.5;1.104167;
2020-04-23;3.4;955.033333;20.266667;28.7;23.683333;21.2;81.75;59;4.2;1.0875;
2020-04-24;0;956.2375;19.204167;29.2;23.458333;19.4;78.291667;53;7.6;2.166667;
2020-04-25;0;957.525;16.575;28.9;22.441667;16.5;72.041667;41;7.4;1.8875;
2020-04-26;0;957.958333;16.75;29.4;21.55;14.8;76.5;45;9.2;1.891667;
2020-04-27;0;958.508333;16.5125;28.6;21.758333;15;74.166667;47;7.9;1.766667;
2020-04-28;0;958.6375;15.270833;28.6;20.533333;13.9;74.916667;43;6.8;1.5125;
2020-04-29;0;958.616667;16.095833;28.7;20.7875;14.5;77;48;7.9;1.758333;
2020-04-30;0;957.958333;15.170833;29.8;20.654167;12.9;74.833333;37;5.6;1.245833;
2020-05-01;0;958.004167;15.5875;31.3;21.225;13.7;74.458333;33;4.9;1.158333;
2020-05-02;0;956.775;15.316667;31.4;21.1125;13.4;73.625;37;5;1.345833;
2020-05-03;0;955.395833;15.620833;32.5;22.095833;14.7;72.25;27;3.8;1.016667;
2020-05-04;.2;954.85;14.991667;30.1;20.670833;12.5;73.833333;37;5.8;1.345833;
2020-05-05;0;955.295833;15.854167;30.3;20.679167;12.8;76.958333;42;6.3;1.325;
2020-05-06;0;955.504167;16.520833;29.9;20.975;13.8;78.208333;47;4.8;1.375;
2020-05-07;0;955.183333;17.6625;32.2;23.05;15.7;74.958333;37;6.5;.958333;
2020-05-08;1;957.754167;18.7875;26.5;22.5;20.6;80.083333;63;7.2;1.866667;
2020-05-09;0;959.708333;16.208333;25.1;21.116667;18;74.25;57;8.1;2.683333;
2020-05-10;0;959.779167;15.179167;27.7;20.3875;13.5;74.291667;47;8.3;1.666667;
2020-05-11;0;959.208333;15.441667;28.6;20.545833;13.4;75.166667;45;7.3;1.579167;
2020-05-12;0;957.6;16.2875;28.5;20.458333;13.9;79;53;7.9;1.654167;
2020-05-13;0;956.266667;16.429167;30.3;21.004167;13.8;77.708333;48;6.3;1.370833;
2020-05-14;0;956;18.25;30.8;22.816667;17.4;77.875;46;4.9;1.175;
2020-05-15;0;955.633333;17.941667;32.7;23.266667;16.6;75.083333;36;5.3;1.1125;
2020-05-16;0;955.266667;18.333333;31.6;23.2125;16.9;76.75;43;5.5;1.108333;
2020-05-17;15.2;956.679167;19.991667;27.3;22.3875;20.5;86.791667;64;6.3;1.3375;
2020-05-18;13.4;957.791667;18.458333;29.6;22.808333;18.2;78.291667;50;7.4;1.6375;
2020-05-19;0;958.95;17.895833;28.5;22.795833;17.6;75.25;50;9.1;2.208333;
2020-05-20;0;959.8125;16.7;28;21.866667;17.3;74.25;48;9.5;2.2375;
2020-05-21;0;959.354167;16.354167;28.3;21.258333;15.9;76.041667;48;9.1;1.708333;
2020-05-22;0;958.8;18.158333;29.2;22.775;17.9;76.833333;51;7.1;1.345833;
2020-05-23;0;957.85;17.920833;30;22.825;17.1;76.5;46;6.3;1.295833;
2020-05-24;0;956.108333;17.3625;32.4;22.579167;15.7;75.958333;38;4.9;1.15;
2020-05-25;0;955.3625;18.570833;30.8;22.1;16.9;82.208333;48;11.1;1.2375;
2020-05-26;2.6;955.1875;19.15;30.9;23.241667;18.5;79.875;46;5;1.233333;
2020-05-27;.2;955.758333;17.479167;31.2;23.083333;17.4;73.791667;41;5.8;1.329167;
2020-05-28;0;956.625;13.533333;30;20.216667;12.7;70.625;31;7.4;1.3625;
2020-05-29;0;958.458333;11.383333;27;17.695833;10.1;70.958333;33;8.8;2;
2020-05-30;0;958.429167;10.833333;26.7;16.429167;8;74.208333;35;7.7;1.754167;
2020-05-31;0;957.775;12.358333;28.4;17.570833;9;75.416667;41;5.9;1.183333;
2020-06-01;0;956.8375;13.341667;30.2;19.016667;10.5;74.333333;36;5;1.2375;
2020-06-02;0;956.429167;14.529167;31.6;20.5875;12.7;73;38;4.9;1.104167;
2020-06-03;0;956.808333;16.133333;32.2;21.966667;14.6;73.75;37;5.9;1.258333;
2020-06-04;0;957.8625;16.983333;30.9;22.129167;15.5;75.416667;43;9.2;1.9875;
2020-06-05;0;959.195833;16.316667;30.3;21.825;14.5;74.208333;42;6.4;1.454167;
2020-06-06;0;959.1125;15.279167;29.4;21.233333;13.6;72.125;40;5.9;1.416667;
2020-06-07;0;958.966667;14.275;30;20.3375;12.4;72.583333;35;6.1;1.529167;
2020-06-08;0;958.1375;14.7375;29.9;19.7875;12.7;75.833333;40;6.5;1.504167;
2020-06-09;0;957.1125;13.3125;30.4;19.895833;11.7;71.458333;28;6.8;1.6125;
2020-06-10;0;957.104167;13.85;30.9;19.529167;11.2;73.916667;33;5.6;1.283333;
2020-06-11;0;957.725;13.233333;31.4;20.008333;11.4;71.458333;24;6.4;1.454167;
2020-06-12;0;956.545833;12.458333;30.8;19.483333;10.7;70;29;7.5;1.4625;
2020-06-13;0;957.766667;12.675;31.3;19.395833;10.7;71.083333;23;6.9;1.354167;
2020-06-14;0;958.35;12.158333;30.5;19.429167;10.9;68.666667;28;10.8;2.275;
2020-06-15;0;960.4375;12.9625;27;18.229167;9.5;73.958333;48;11.1;2.704167;
2020-06-16;0;960.941667;15.270833;26.9;22.258333;18.9;65.166667;48;9.1;2.75;
2020-06-17;0;960.2375;14.629167;26.2;20.020833;11.9;73.125;50;8.2;2.291667;
2020-06-18;0;960.004167;13.791667;27.8;21.2;15.9;65.541667;36;9.5;3.141667;
2020-06-19;0;959.45;13.795833;28.6;18.945833;10.9;75.208333;46;7.9;1.704167;
2020-06-20;0;959.525;13.716667;30.8;19.979167;11.2;71.916667;36;9.7;2.225;
2020-06-21;0;959.7375;11.470833;29;18.5375;9.8;68.166667;31;9.3;1.908333;
2020-06-22;0;959.045833;11.8125;29.5;18.029167;8.5;71.75;39;9.1;1.933333;
2020-06-23;0;956.670833;13.958333;28.2;19.8625;11.5;71.875;46;9.7;1.929167;
2020-06-24;0;956.595833;12.75;30;22.1875;15.7;58.166667;29;8.1;2.275;
2020-06-25;0;957.908333;11.004167;31;19.204167;8.6;66;25;7.2;1.5375;
2020-06-26;0;956.904167;12.625;31.4;20.625;12;65.791667;27;6.7;1.595833;
2020-06-27;0;955.595833;11.9;31.2;19.591667;9.8;66.916667;27;7.3;1.445833;
2020-06-28;0;956.204167;11.954167;31.6;20.0875;10.4;65.5;26;9.3;1.891667;
2020-06-29;0;957.733333;11.783333;29.2;20.504167;12.5;62.541667;30;12.8;2.695833;
2020-06-30;0;956.633333;13.445833;29.5;19.029167;11.8;73.458333;39;6.8;1.483333;
2020-07-01;0;954.858333;12.654167;32.4;20.245833;11.5;68.208333;28;6.8;1.533333;
2020-07-02;0;954.229167;10.620833;32.9;19.891667;9.3;63.791667;20;4.5;1.320833;
2020-07-03;0;955.025;10.995833;33.3;20.691667;11;61.333333;20;5.4;1.325;
2020-07-04;0;955.979167;11.958333;32.8;21.470833;12.3;61.208333;25;10.6;2.125;
2020-07-05;0;957.966667;12.679167;30.4;20.5375;12.8;64.75;31;11;2.479167;
2020-07-06;0;957.45;12.329167;30.8;19.925;10.9;66.75;29;8.9;1.816667;
2020-07-07;0;956.575;13.045833;29.3;19.7375;11.3;69.041667;37;7.4;1.741667;
2020-07-08;0;956.691667;10.8875;30;19.0875;10.3;65.791667;27;7;1.4875;
2020-07-09;0;958.129167;9.558333;31.7;19.216667;9.4;62;22;7.2;1.579167;
2020-07-10;0;957.904167;11.608333;30.4;19.708333;10.2;64.125;34;9.7;1.85;
2020-07-11;0;958.2375;10.516667;30.5;22.541667;17.5;50.916667;21;15.8;3.233333;
2020-07-12;0;957.779167;8.704167;30.7;18.366667;8.1;60.875;22;7.4;1.504167;
2020-07-13;0;957.6625;9.1375;32.5;18.55;7.7;62;22;8.3;1.4375;
2020-07-14;0;957.866667;8.908333;32.8;19.283333;8.7;59.791667;19;11.9;1.691667;
2020-07-15;0;957.754167;8.766667;31.4;19.216667;7.6;57.791667;23;9.7;2.095833;
2020-07-16;0;959.404167;8.716667;30.1;19.870833;9.6;54.375;21;12.7;3.033333;
2020-07-17;0;959.829167;11.320833;29.3;18.5;9.6;66.666667;33;9.3;2.095833;
2020-07-18;0;959.454167;11.070833;29.6;19.904167;9.8;61.875;27;10.3;2.454167;
2020-07-19;0;959.333333;10.795833;27.8;18.104167;8.8;66.166667;38;10.1;2.358333;
2020-07-20;0;959.108333;10.270833;30.2;17.65;6.9;67.458333;31;10.5;2.633333;
2020-07-21;0;958.208333;12.775;27.4;18.383333;10.9;72.791667;44;8.1;1.6625;
2020-07-22;0;957.4875;9.845833;30.6;19.045833;9.1;63.208333;23;8.8;1.708333;
2020-07-23;0;957.8375;9.125;29.7;17.7625;7;63.208333;29;7.6;1.725;
2020-07-24;0;958.158333;12.129167;28.7;18.283333;8.6;70.416667;41;10.1;1.958333;
2020-07-25;0;959.633333;8.416667;29.7;20.025;10.4;54.708333;17;10.3;2.325;
2020-07-26;0;959.279167;9.929167;30.1;18.183333;8.5;62.916667;32;12;2.4875;
2020-07-27;0;959.079167;12.779167;29.9;20.916667;13.3;63.458333;34;10;2.566667;
2020-07-28;0;958.983333;12.25;31.4;23.320833;17.2;53.916667;24;11;2.8875;
2020-07-29;0;958.733333;10.2875;32.4;20.416667;10.3;58.166667;23;7;1.4125;
2020-07-30;0;958.491667;6.216667;32.1;20.620833;10;48.708333;13;13;2.4125;
2020-07-31;0;959.9;6.195833;30.7;18.445833;6.2;50.666667;22;11.9;3.125;
2020-08-01;0;960.779167;9.7125;30.6;21.695833;13.2;49.916667;22;12.8;3.375;
2020-08-02;0;961.0875;10.245833;29.8;21.354167;12.3;53.708333;25;10.8;3.016667;
2020-08-03;0;962.804167;8.520833;29.3;21.720833;14.3;47.625;19;13.2;3.15;
2020-08-04;0;963.016667;9.158333;29.6;21.233333;13.2;49.208333;25;11.5;3.020833;
2020-08-05;0;962.420833;10.183333;29;21.041667;12.3;54.083333;27;11.6;3.170833;
2020-08-06;0;961.708333;10.008333;29.7;23.779167;18.4;42.833333;28;11.1;4.558333;
2020-08-07;0;961.9375;12.7125;25.9;22.270833;20;55.125;40;12.3;3.704167;
2020-08-08;0;961.9625;10.408333;29.6;21.854167;12.2;50.833333;29;10;2.879167;
2020-08-09;0;960.495833;11;30.8;21.775;13.9;53.666667;26;11.3;2.758333;
2020-08-10;0;958.1375;11.091667;31.8;21.841667;13.6;55.166667;24;9.3;2.141667;
2020-08-11;0;956.475;10.504167;32.2;22.691667;12.3;50;22;7.5;1.7125;
2020-08-12;0;955.683333;10.716667;33.1;23.65;16.8;48.5;19;10.3;2.433333;
2020-08-13;0;956.45;12.2125;32.4;22.258333;12.6;57.333333;26;9.9;2.058333;
2020-08-14;0;955.25;10.7875;33.9;22.1625;12;54.75;21;7.7;1.670833;
2020-08-15;0;954.008333;12.266667;34.6;25.170833;17.3;48.125;22;8.7;2;
2020-08-16;0;953.966667;10.6625;35.9;23.425;11.9;51.166667;19;7.2;1.504167;
2020-08-17;0;954.004167;10.975;35.9;24.408333;13;48.5;19;9.4;1.7;
2020-08-18;0;954.3375;11.320833;33.8;23.708333;12.7;51.291667;22;10;2.604167;
2020-08-19;0;955.329167;11.495833;33.4;22.920833;12.7;53.875;23;12.4;1.716667;
2020-08-20;0;955.383333;9.629167;35.5;22.945833;12;50.708333;15;7.1;1.420833;
2020-08-21;0;953.866667;9.2375;36;23.454167;11.1;46.791667;17;6.6;1.754167;
2020-08-22;0;954.5;11.65;34.5;23.8;13.7;51.291667;24;7.3;1.375;
2020-08-23;0;956.0125;13.816667;34.2;25.958333;19.1;49.291667;28;10;3.191667;
2020-08-24;0;956.375;12.35;32.7;24.025;16.1;51;27;10.4;2.541667;
2020-08-25;0;955.466667;8.15;32.3;23.7875;16;40.375;16;9.4;2.9375;
2020-08-26;0;955.754167;3.045833;31.7;19.704167;7.9;40.625;13;9.5;1.85;
2020-08-27;0;956.25;3.516667;32.9;19.654167;6.9;41;12;8.8;2.1;
2020-08-28;0;956.491667;8.179167;33.1;22.9125;13.4;42.916667;19;12.1;2.579167;
2020-08-29;0;955.770833;9.525;33.3;22.866667;12.2;46.458333;22;9.7;2.175;
2020-08-30;0;956.1625;9.091667;34.5;23.3875;11.9;44.958333;17;8.8;1.8375;
2020-08-31;0;957.458333;8.770833;35.1;23.129167;12.8;45.958333;14;9.5;2.1125;
2020-09-01;0;958.941667;7.9;33.1;22.433333;11;44.166667;17;13.4;3.045833;
2020-09-02;0;958.104167;7.945833;32.4;23.166667;14.4;42.625;15;10.6;2.775;
2020-09-03;0;957.020833;10.704167;32.2;23.479167;12.8;47.875;24;10.2;2.741667;
2020-09-04;0;958.333333;8.8875;33;21.741667;11.5;49.833333;18;10.1;2.020833;
2020-09-05;0;958.033333;9;33.3;22.383333;11.5;47.5;22;9;2.375;
2020-09-06;0;956.6375;10.604167;32.5;23.275;11.6;48.083333;25;9.8;2.3375;
2020-09-07;0;954.404167;10.1125;34.4;24.008333;15.5;46.791667;19;8.9;1.7;
2020-09-08;0;954.316667;10.545833;34.5;23.4875;12.7;48.125;22;9.1;1.8;
2020-09-09;0;956.6;6.1375;34.7;23.770833;11.7;38.458333;12;10.3;1.95;
2020-09-10;0;958.116667;7.679167;34.1;22.754167;11.9;42.833333;15;10.1;2.416667;
2020-09-11;0;956.0625;6.183333;34.8;22.566667;11.1;42.458333;11;10;2.129167;
2020-09-12;0;956.7;7.3;33.2;22.579167;11.6;41.458333;19;11.5;2.8875;
2020-09-13;0;958.075;10.2;33.2;23.5875;11.8;45.458333;25;10.5;2.591667;
2020-09-14;0;958.879167;10.654167;34.5;25.258333;16.3;44.166667;19;9.2;2.508333;
2020-09-15;0;957.033333;9.2375;34.5;25.470833;14.3;38.666667;18;9.7;2.195833;
2020-09-16;0;956.170833;9.2125;34.2;24.204167;13.9;41.875;20;10.7;2.191667;
2020-09-17;0;955.125;9.445833;35;23.933333;13.6;45;19;9.6;2.004167;
2020-09-18;0;953.825;7.266667;37.4;25.0125;12.3;39.166667;13;8.3;1.6375;
2020-09-19;0;953.054167;5.958333;39.5;26.058333;12.6;34.875;10;9.9;1.975;
2020-09-20;0;952.120833;6.3625;39.3;26.958333;14.1;31.791667;11;8.2;1.983333;
2020-09-21;0;953.108333;9.15;36.7;26.7125;17.7;35.166667;19;12.5;2.095833;
2020-09-22;0;954.625;10.933333;37.2;26.554167;17.3;41.25;19;7;1.754167;
2020-09-23;0;956.8;14.216667;35.4;27.620833;21.7;45.833333;26;12.3;2.3625;
2020-09-24;0;956.8875;14.595833;34.9;27.391667;21.4;48.5;27;11.4;2.9125;
2020-09-25;0;956.3;11.875;34.8;27.4;19.3;40.541667;21;12.4;3.6;
2020-09-26;0;954.708333;9.825;36;26.904167;16.5;38.375;15;8.7;2.279167;
2020-09-27;0;953.445833;6.3;38;25.145833;12.8;36.375;11;11.4;1.808333;
2020-09-28;0;952.954167;5.458333;38.4;25.629167;12;33.083333;11;9.2;1.820833;
2020-09-29;0;953.4625;4.833333;39.6;26.941667;12.1;30.875;10;11.2;2.591667;
2020-09-30;0;954.375;8.670833;37.6;29.295833;18;29.875;14;12.5;3.345833;
2020-10-01;0;953.55;9.7125;36.3;28.554167;19.1;34.125;14;12.8;3.175;
2020-10-02;0;952.983333;8.8375;37.4;26.483333;16;37.291667;13;8.3;1.845833;
2020-10-03;0;952.895833;6.858333;38.4;26.508333;14.1;34.791667;10;8.6;1.916667;
2020-10-04;0;952.758333;3.675;39.3;27.129167;13.1;27.458333;9;12.5;2.433333;
2020-10-05;0;954.345833;8.608333;36.6;27.604167;14.8;32.541667;14;10.6;3.133333;
2020-10-06;0;954.220833;11.495833;37.7;29.05;22.4;36.375;17;11.1;2.670833;
2020-10-07;0;954.441667;8.458333;40.4;28.458333;16.1;35;11;10.1;2.091667;
2020-10-08;0;952.820833;5.925;41.3;28.733333;15.5;29;10;8.9;1.633333;
2020-10-09;0;951.220833;6.083333;40.6;29.608333;17.6;26.375;12;13.4;2.766667;
2020-10-10;0;951.008333;12.55;37.7;28.758333;21.6;37.75;23;9.3;2.420833;
